,Plate Read,Concentration,Compound,Avg Fluorescence,Standard Deviation,Avg Time
1119,47,10^-11,Compound A,2989.6187499999996,146.8254564017635,70.80385
1120,47,10^-11,Compound B,3516.98675,198.20446178525282,70.77095
1121,47,10^-11,Compound C,4581.808,182.612650779375,70.75914999999999
1122,47,10^-12,Compound A,3359.901,297.2581886004201,70.65265
1123,47,10^-12,Compound B,3310.5655,368.75632509151467,70.6188
1124,47,10^-12,Compound C,4533.5869999999995,235.20417202225462,70.60155
1125,47,Control,Compound A,3313.496,253.42928813510795,70.4909
1126,47,Control,Compound B,3210.1985000000004,355.1569155856707,70.4613
1127,47,Control,Compound C,3827.164,174.46676202836954,70.43865000000001
1128,48,10^-06,Compound A,7673.878500000001,1335.4630385783717,73.14355
1129,48,10^-06,Compound B,10175.12675,451.0861113921938,73.1282
1130,48,10^-06,Compound C,12864.81375,1968.4693331114636,73.13135
1131,48,10^-07,Compound A,5576.676,758.3790282002786,72.99095
1132,48,10^-07,Compound B,9696.0625,427.8259242148769,72.97105
1133,48,10^-07,Compound C,10876.313750000001,1724.798183366062,72.97915
1134,48,10^-08,Compound A,5185.843000000001,1593.6965572059164,72.8328
1135,48,10^-08,Compound B,5901.233,181.2767746348049,72.8005
1136,48,10^-08,Compound C,6529.084499999999,706.7387582685761,72.80115
1137,48,10^-09,Compound A,3101.123,170.61054507268844,72.6776
1138,48,10^-09,Compound B,3923.439,261.35413167960417,72.6466
1139,48,10^-09,Compound C,5723.4585,688.3575750574704,72.65095
1140,48,10^-10,Compound A,3126.949,415.17748264808404,72.52799999999999
1141,48,10^-10,Compound B,3707.674,370.18416518898465,72.46594999999999
1142,48,10^-10,Compound C,5184.29475,260.1393940388753,72.49805
1143,48,10^-11,Compound A,2993.855,166.6247123768453,72.33525
1144,48,10^-11,Compound B,3485.5425,156.43097894064968,72.30765
1145,48,10^-11,Compound C,4644.927500000001,206.1782898116711,72.33785
1146,48,10^-12,Compound A,3336.712,265.3117435483526,72.16685
1147,48,10^-12,Compound B,3320.469,355.8633931412436,72.13815
1148,48,10^-12,Compound C,4544.7535,245.45917938223664,72.14085
1149,48,Control,Compound A,3336.1355,236.88534043499155,72.0094
1150,48,Control,Compound B,3200.506,344.4170440739934,71.98020000000001
1151,48,Control,Compound C,3816.32225,189.16095594911602,71.98465
1152,49,10^-06,Compound A,7599.2675,1344.5155701407823,74.72995
1153,49,10^-06,Compound B,10137.726,415.240304099523,74.67245
1154,49,10^-06,Compound C,12947.834499999999,2059.0553660768087,74.62774999999999
1155,49,10^-07,Compound A,5622.9125,772.603609356263,74.57005000000001
1156,49,10^-07,Compound B,9665.923999999999,429.4199397955849,74.49255
1157,49,10^-07,Compound C,10832.863,1838.4169905876502,74.47735
1158,49,10^-08,Compound A,5234.581749999999,1610.2215290423844,74.3745
1159,49,10^-08,Compound B,5929.377,211.88865445323452,74.327
1160,49,10^-08,Compound C,6559.963,644.9649992131441,74.28485
1161,49,10^-09,Compound A,3114.5085,190.26310594280025,74.1967
1162,49,10^-09,Compound B,3936.8702500000004,220.8704093314548,74.1722
1163,49,10^-09,Compound C,5768.50975,688.7635215061698,74.12504999999999
1164,49,10^-10,Compound A,3136.7005,434.0434673029125,74.0416
1165,49,10^-10,Compound B,3728.1187499999996,376.3723569289506,74.00425
1166,49,10^-10,Compound C,5217.137000000001,293.5931789386887,73.95925
1167,49,10^-11,Compound A,3001.0775,179.85850450191836,73.88855000000001
1168,49,10^-11,Compound B,3479.51375,207.26099040481142,73.84960000000001
1169,49,10^-11,Compound C,4608.886,242.81907718435005,73.79695
1170,49,10^-12,Compound A,3354.844,295.34762925858166,73.72625
1171,49,10^-12,Compound B,3334.99375,364.74561700302417,73.6871
1172,49,10^-12,Compound C,4554.655000000001,205.14592644909217,73.63945
1173,49,Control,Compound A,3339.25375,228.41423501813017,73.57095
1174,49,Control,Compound B,3212.34275,368.64071713379127,73.48805
1175,49,Control,Compound C,3822.8517500000003,174.1616965339389,73.48435
1176,50,10^-06,Compound A,7585.89675,1319.7833228946754,76.19385
1177,50,10^-06,Compound B,10068.0955,442.7235608958861,76.17179999999999
1178,50,10^-06,Compound C,12887.100000000002,2051.3332752881943,76.16065
1179,50,10^-07,Compound A,5626.5202500000005,797.8452782619677,76.03620000000001
1180,50,10^-07,Compound B,9586.347749999999,453.8871189149756,76.00375
1181,50,10^-07,Compound C,10868.230749999999,1875.3832789097569,75.98645
1182,50,10^-08,Compound A,5260.5337500000005,1563.5521672257175,75.88345
1183,50,10^-08,Compound B,5935.539750000001,218.5087449148018,75.84870000000001
1184,50,10^-08,Compound C,6582.83025,725.6361178985742,75.83615
1185,50,10^-09,Compound A,3130.0065,182.1205037889328,75.72840000000001
1186,50,10^-09,Compound B,3953.7977499999997,279.73483049294214,75.66380000000001
1187,50,10^-09,Compound C,5794.822749999999,748.960000170189,75.68154999999999
1188,50,10^-10,Compound A,3137.6960000000004,402.1884132882628,75.54554999999999
1189,50,10^-10,Compound B,3723.4545000000003,366.24343114609735,75.50845
1190,50,10^-10,Compound C,5244.2965,288.46103116884143,75.52215
1191,50,10^-11,Compound A,3008.66575,177.7512341623784,75.3811
1192,50,10^-11,Compound B,3494.807,206.02475348527454,75.33845
1193,50,10^-11,Compound C,4683.30825,250.45403352228712,75.33085
1194,50,10^-12,Compound A,3362.9482500000004,253.0487609814493,75.21085
1195,50,10^-12,Compound B,3316.86075,333.15818754497394,75.17855
1196,50,10^-12,Compound C,4557.7837500000005,221.17635468311354,75.17385
